 N       M       Gemini(t1)      Gemini+opt(t2) ChatGPT(t3)     t1/(m*n)        t2/(n+m)        t3/(m+n)
10      10      6.56e-05        6.68e-06        3.10e-06        6.56e-07        3.34e-07        1.55e-07
10      100     5.25e-04        5.70e-05        3.34e-06        5.25e-07        5.18e-07        3.03e-08
10      1000    5.52e-03        5.29e-04        7.63e-06        5.52e-07        5.23e-07        7.55e-09
10      10000   5.60e-02        5.95e-03        9.78e-06        5.60e-07        5.95e-07        9.77e-10

100     10      4.88e-04        3.31e-05        3.58e-06        4.88e-07        3.01e-07        3.25e-08
100     100     4.75e-03        7.15e-05        7.63e-06        4.75e-07        3.58e-07        3.81e-08
100     1000    5.67e-02        5.98e-04        8.82e-06        5.67e-07        5.43e-07        8.02e-09
100     10000   5.75e-01        6.40e-03        4.70e-05        5.75e-07        6.34e-07        4.65e-09

1000    10      5.96e-03        2.46e-04        6.20e-06        5.96e-07        2.43e-07        6.14e-09
1000    100     5.26e-02        2.87e-04        1.72e-05        5.26e-07        2.61e-07        1.56e-08
1000    1000    5.76e-01        8.50e-04        5.60e-05        5.76e-07        4.25e-07        2.80e-08
1000    10000   5.74e+00        1.16e-02        8.83e-04        5.74e-07        1.05e-06        8.03e-08

10000   10      5.94e-02        2.53e-03        1.03e-05        5.94e-07        2.53e-07        1.02e-09
10000   100     5.64e-01        2.51e-03        5.70e-05        5.64e-07        2.48e-07        5.64e-09
10000   1000    5.76e+00        3.42e-03        7.77e-04        5.76e-07        3.11e-07        7.06e-08
10000   10000   6.11e+01        1.12e-01        9.10e-02        6.11e-07        5.61e-06        4.55e-06
