 N	 M 	 ChatGPT(t3)	t3/(m*n)
3	3	4.05e-06	4.50e-07
3	9	1.60e-05	5.92e-07
3	27	3.10e-06	3.83e-08
3	81	3.81e-06	1.57e-08
3	243	4.77e-06	6.54e-09
3	729	4.53e-06	2.07e-09
3	2187	5.25e-06	7.99e-10
3	6561	5.25e-06	2.66e-10
3	19683	2.15e-05	3.63e-10
3	59049	1.86e-05	1.05e-10

9	3	3.10e-06	1.15e-07
9	9	2.86e-06	3.53e-08
9	27	2.62e-06	1.08e-08
9	81	3.58e-06	4.91e-09
9	243	3.34e-06	1.53e-09
9	729	4.05e-06	6.18e-10
9	2187	4.53e-06	2.30e-10
9	6561	6.68e-06	1.13e-10
9	19683	1.55e-05	8.75e-11
9	59049	3.81e-05	7.18e-11

27	3	3.10e-06	3.83e-08
27	9	2.38e-06	9.81e-09
27	27	3.58e-06	4.91e-09
27	81	3.10e-06	1.42e-09
27	243	1.69e-05	2.58e-09
27	729	4.53e-06	2.30e-10
27	2187	7.39e-06	1.25e-10
27	6561	1.41e-05	7.94e-11
27	19683	3.48e-05	6.55e-11
27	59049	5.25e-04	3.29e-10

81	3	3.10e-06	1.28e-08
81	9	2.86e-06	3.92e-09
81	27	3.34e-06	1.53e-09
81	81	3.81e-06	5.81e-10
81	243	4.05e-06	2.06e-10
81	729	6.91e-06	1.17e-10
81	2187	1.43e-05	8.08e-11
81	6561	3.39e-05	6.37e-11
81	19683	1.00e-04	6.30e-11
81	59049	3.73e-03	7.80e-10

243	3	5.72e-06	7.85e-09
243	9	3.34e-06	1.53e-09
243	27	4.29e-06	6.54e-10
243	81	1.84e-05	9.33e-10
243	243	8.11e-06	1.37e-10
243	729	1.55e-05	8.75e-11
243	2187	3.86e-05	7.27e-11
243	6561	8.77e-05	5.50e-11
243	19683	2.40e-03	5.01e-10
243	59049	1.19e-02	8.26e-10

729	3	8.58e-06	3.92e-09
729	9	4.05e-06	6.18e-10
729	27	5.48e-06	2.79e-10
729	81	1.03e-05	1.74e-10
729	243	2.17e-05	1.22e-10
729	729	4.22e-05	7.94e-11
729	2187	1.07e-04	6.73e-11
729	6561	5.94e-04	1.24e-10
729	19683	7.98e-03	5.56e-10
729	59049	3.54e-02	8.23e-10

2187	3	8.82e-06	1.34e-09
2187	9	3.34e-06	1.70e-10
2187	27	6.20e-06	1.05e-10
2187	81	1.84e-05	1.04e-10
2187	243	4.27e-05	8.03e-11
2187	729	8.75e-05	5.49e-11
2187	2187	3.09e-04	6.46e-11
2187	6561	1.21e-03	8.42e-11
2187	19683	3.48e-02	8.10e-10
2187	59049	1.05e-01	8.16e-10

6561	3	1.05e-05	5.33e-10
6561	9	1.91e-05	3.23e-10
6561	27	1.26e-05	7.13e-11
6561	81	3.27e-05	6.15e-11
6561	243	8.85e-05	5.55e-11
6561	729	3.26e-04	6.81e-11
6561	2187	1.22e-03	8.48e-11
6561	6561	3.52e-02	8.18e-10
6561	19683	1.03e-01	7.96e-10
6561	59049	3.06e-01	7.90e-10

19683	3	1.29e-05	2.18e-10
19683	9	1.50e-05	8.48e-11
19683	27	4.43e-05	8.34e-11
19683	81	9.04e-05	5.67e-11
19683	243	3.06e-04	6.40e-11
19683	729	1.23e-03	8.57e-11
19683	2187	3.47e-02	8.07e-10
19683	6561	1.02e-01	7.92e-10
19683	19683	3.04e-01	7.85e-10
19683	59049	8.98e-01	7.73e-10

59049	3	1.84e-05	1.04e-10
59049	9	3.10e-05	5.83e-11
59049	27	7.58e-05	4.76e-11
59049	81	3.56e-04	7.45e-11
59049	243	1.21e-03	8.47e-11
59049	729	3.51e-02	8.16e-10
59049	2187	1.04e-01	8.03e-10
59049	6561	3.03e-01	7.82e-10
59049	19683	8.95e-01	7.70e-10
59049	59049	2.66e+00	7.62e-10

